"intervention","asset","asset_name","include","asset_class","asset_unit","unit_type","asset_parameters","user_entered_parameters","tool_extracted_parameters","tool_calculated_parameters"
"rail_underpass_footpath","rail_underpass_footpath","Underpass",TRUE,"CV-BR-UP","number","number","number, span","number",,
"rail_underpass","rail_underpass","Underpass",TRUE,"CV-BR-UP","number","number","number, span","number",,
"rail_maintenance_depot","rail_building","Building",TRUE,"GR-BL","m2","area","area, number","number",,
"rail_maintenance_depot","rail_car_park","Car Park",TRUE,"GR-CP","m2","area","area, number","number",,
"rail_maintenance_depot","rail_carriageway","Carriageway",TRUE,"CV-HW-CW","m","length","length",,"length",
"rail_maintenance_depot","rail_circulation_feature","Circulation Feature",TRUE,"CV-HW-CF","number","number","number",,,"number"
"rail_maintenance_depot","rail_track","Track (double)",TRUE,,"m","length","length, width, number",,"length","number"
"rail_maintenance_depot","rail_ole","OLE",TRUE,,"m","length","length, number",,"length","number"
"rail_maintenance_depot","rail_pnc","Point and crossings",TRUE,,"number","number","number","number",,
"rail_freight_terminal","rail_building","Building",TRUE,"GR-BL","m2","area","area, number","number",,
"rail_freight_terminal","rail_car_park","Car Park",TRUE,"GR-CP","m2","area","area, number","number",,
"rail_freight_terminal","rail_carriageway","Carriageway",TRUE,"CV-HW-CW","m","length","length",,"length",
"rail_freight_terminal","rail_circulation_feature","Circulation Feature",TRUE,"CV-HW-CF","number","number","number",,"number",
"rail_freight_terminal","rail_track","Track (double)",TRUE,,"m","length","length, width, number",,"length","number"
"rail_freight_terminal","rail_ole","OLE",TRUE,,"m","length","length, number",,"length","number"
"rail_freight_terminal","rail_pnc","Point and crossings",TRUE,,"number","number","number","number",,
"cycle_lane_painted","cycle_lane_painted","Cycle lane painted",TRUE,,"m","length","length, width",,"length, width",
"cycle_lane_stepped","cycle_lane_stepped","Cycle lane stepped",TRUE,,"m","length","length, width",,"length, width",
"cycle_lane_segregated","cycle_lane_segregated","Cycle lane segregated",TRUE,,"m","length","length, width",,"length, width",
"cycle_track_rural","cycle_lane_rural","Cycle track rural",TRUE,,"m","length","length, width",,"length, width",
"cycle_track_urban","cycle_track_urban","Cycle track urban",TRUE,,"m","length","length, width",,"length, width",
"cycle_upgrade_stepped","cycle_upgrade_stepped","Cycle upgrade stepped",TRUE,,"m","length","length, width",,"length, width",
"cycle_upgrade_segregated","cycle_upgrade_segregated","Cycle upgrade segregated",TRUE,,"m","length","length, width",,"length, width",
"cycle_upgrade_rail_cycle_path","cycle_upgrade_rail_cycle_path","Cycle upgrade rail cycle path",TRUE,,"m","length","length, width",,"length, width",
"cycle_stands_open","cycle_stands_open","Cycle stands open",TRUE,,"number","number","number","number",,
"cycle_stands_roof","cycle_stands_roof","Cycle parking roof",TRUE,,"number","number","number","number",,
"cycle_docking_station","cycle_docking_station","Cycle docking station",TRUE,,"number","number","number","number",,
"cycle_secure_parking","cycle_secure_parking","Cycle secure parking",TRUE,,"number","number","number","number",,
