mode,intervention_class,travel_mode,modeshift_low,modeshift_average,modeshift_high,induceddemand_low,induceddemand_average,induceddemand_high
Walking,Upgrade,passenger,0.01,0.02,0.03,0.01,0.02,0.03
Walking,Upgrade,rail,0.01,0.02,0.03,0.01,0.02,0.03
Walking,Upgrade,bus,0.01,0.02,0.03,0.01,0.02,0.03
Walking,Upgrade,lgv,0,0,0,0,0,0
Walking,Upgrade,hgv,0,0,0,0,0,0
Road - Minor,New construction,walk,0.01,0.02,0.03,0.01,0.02,0.03
Road - Minor,New construction,cycle,0.01,0.02,0.03,0.01,0.02,0.03
Road - Minor,New construction,drive,0,0,0,0.01,0.02,0.03
Road - Minor,New construction,passenger,0.01,0.02,0.03,0.01,0.02,0.03
Road - Minor,New construction,rail,0.01,0.02,0.03,0.01,0.02,0.03
Road - Minor,New construction,bus,0.01,0.02,0.03,0.01,0.02,0.03
Road - Minor,New construction,lgv,0,0,0,0,0,0
Road - Minor,New construction,hgv,0,0,0,0,0,0
Road - Minor,Upgrade,walk,0.01,0.02,0.03,0.01,0.02,0.03
Road - Minor,Upgrade,cycle,0.01,0.02,0.03,0.01,0.02,0.03
Road - Minor,Upgrade,drive,0,0,0,0.01,0.02,0.03
Road - Minor,Upgrade,passenger,0.01,0.02,0.03,0.01,0.02,0.03
Road - Minor,Upgrade,rail,0.01,0.02,0.03,0.01,0.02,0.03
Road - Minor,Upgrade,bus,0.01,0.02,0.03,0.01,0.02,0.03
Road - Minor,Upgrade,lgv,0,0,0,0,0,0
Road - Minor,Upgrade,hgv,0,0,0,0,0,0
Road - Major,New construction,walk,0.01,0.02,0.03,0.09,0.16,1.78
Road - Major,New construction,cycle,0.01,0.02,0.03,0.09,0.16,1.78
Road - Major,New construction,drive,0,0,0,0.09,0.16,1.78
Road - Major,New construction,passenger,0.01,0.02,0.03,0.09,0.16,1.78
Road - Major,New construction,rail,0.01,0.02,0.03,0.09,0.16,1.78
Road - Major,New construction,bus,0.01,0.02,0.03,0.09,0.16,1.78
Road - Major,New construction,lgv,0,0,0,0,0,0
Road - Major,New construction,hgv,0,0,0,0,0,0
Road - Major,Upgrade,walk,0.01,0.02,0.03,0.09,0.16,1.78
Road - Major,Upgrade,cycle,0.01,0.02,0.03,0.09,0.16,1.78
Road - Major,Upgrade,drive,0,0,0,0.09,0.16,1.78
Road - Major,Upgrade,passenger,0.01,0.02,0.03,0.09,0.16,1.78
Road - Major,Upgrade,rail,0.01,0.02,0.03,0.09,0.16,1.78
Road - Major,Upgrade,bus,0.01,0.02,0.03,0.09,0.16,1.78
Road - Major,Upgrade,lgv,0,0,0,0,0,0
Road - Major,Upgrade,hgv,0,0,0,0,0,0
