"id","rock_type","type_0","type_1","type_2","type_3","type_6","type_7","type_8","type_9","angle","cut","fill","processing","density_loose","density_bank"
39,"SANDSTONE AND [SUBEQUAL/SUBORDINATE] LIMESTONE, INTERBEDDED",0,0,0,0,0,1,0,0,48.0127875041833,"0.84955662198300974","0.5833814330459216","1.9218654000000004",1408,2000
10,"SANDSTONE AND CONGLOMERATE, INTERBEDDED",0,0,0,0,0,1,0,0,48.0127875041833,"0.86090694869775986","0.59707168326151405","1.9218654000000004",1444,2050
27,"SANDSTONE AND MUDSTONE",0,0,0,0,0,1,0,0,51.3401917459099,"0.93422525601132445","0.7134819613252309","1.9218654000000004",1690,2400
18,"SANDSTONE AND SILTSTONE, INTERBEDDED",0,0,0,0,0,1,0,0,48.0127875041833,"0.93422525601132445","0.7134819613252309","1.9218654000000004",1690,2400
59,"SANDSTONE AND SUBORDINATE BRECCIA",0,0,0,0,0,1,0,0,69.1932089872888,"0.93422525601132445","0.7134819613252309","1.9218654000000004",1690,2400
21,"SANDSTONE WITH SUBORDINATE ARGILLACEOUS ROCKS AND LIMESTONE",0,0,0,0,0,1,0,0,69.1932089872888,"0.93422525601132445","0.7134819613252309","1.9218654000000004",1690,2400
85,"SANDSTONE WITH SUBORDINATE CONGLOMERATE AND SILTSTONE",0,0,0,0,0,1,0,0,48.0127875041833,"0.93422525601132445","0.7134819613252309","1.9218654000000004",1690,2400
49,"SANDSTONE WITH SUBORDINATE CONGLOMERATE, SILTSTONE AND MUDSTONE",0,0,0,0,0,1,0,0,48.0127875041833,"0.93422525601132445","0.7134819613252309","1.9218654000000004",1690,2400
8,"SANDSTONE, BRECCIA AND CONGLOMERATE",0,0,0,0,0,1,0,0,48.0127875041833,"0.92947412001132457","0.69067632914289678","1.9218654000000004",1648,2340
67,"SANDSTONE, CONGLOMERATE AND [SUBORDINATE] ARGILLACEOUS ROCKS",0,0,0,0,0,1,0,0,48.0127875041833,"0.92947412001132457","0.69067632914289678","1.9218654000000004",1648,2340
20,"SANDSTONE, LIMESTONE AND ARGILLACEOUS ROCKS",0,0,0,0,0,1,0,0,63.434948822922,"0.92947412001132457","0.69067632914289678","1.9218654000000004",1648,2340
45,"SANDSTONE, MUDSTONE, SILTSTONE AND CONGLOMERATE",0,0,0,0,0,1,0,0,47.6978056333163,"0.92947412001132457","0.69067632914289678","1.9218654000000004",1648,2340
6,"SANDSTONE, SILTSTONE AND MUDSTONE",0,0,0,0,0,1,0,0,47.6978056333163,"0.90159383165475748","0.64388630122633739","1.9218654000000004",1553,2205
80,"SCHIST",0,0,0,0,1,0,0,0,75.9637565320735,"0.97856919201132442","1.0030442155305532","1.9218654000000004",2085,2960
44,"SEDIMENTARY ROCK CYCLES, CLACKMANNAN GROUP TYPE",0,0,0,0,0,1,0,0,63.434948822922,"0.82910614749632838","0.55787300241499416","1.9218654000000004",1338,1900
53,"SEDIMENTARY ROCK CYCLES, STRATHCLYDE GROUP TYPE",0,0,0,0,0,1,0,0,63.434948822922,"0.82910614749632838","0.55787300241499416","1.9218654000000004",1338,1900
43,"SEMIPELITE",0,0,0,0,1,0,0,0,75.9637565320735,"0.86090694869775986","0.59707168326151405","1.9218654000000004",1444,2050
60,"SEMIPELITE AND PELITE",0,0,0,0,1,0,0,0,69.1932089872888,"0.86090694869775986","0.59707168326151405","1.9218654000000004",1444,2050
72,"SERPENTINITE, METABASALT, METALIMESTONE AND PSAMMITE",0,0,0,0,0.5,0.5,0,0,63.434948822922,"0.87308026695923757","0.61142708781791111","1.9218654000000004",1479,2100
29,"SILTSTONE AND SANDSTONE WITH SUBORDINATE MUDSTONE",0,0,0,0,0.5,0.5,0,0,63.434948822922,"0.84955662198300974","0.5833814330459216","1.9218654000000004",1408,2000
71,"SYENITIC-ROCK",0,0,0,0,1,0,0,0,75.9637565320735,"0.95006237601132448","0.79965131687610724","1.9218654000000004",1831,2600
54,"ULTRAMAFITITE",0,0,0,0,1,0,0,0,75.9637565320735,"0.9619402160113244","0.87598380995799519","1.9218654000000004",1937,2750
2,"WACKE",0,0,0,0,0,1,0,0,63.434948822922,"0.95520944001132446","0.83138967358391236","1.9218654000000004",1877,2665
